FirstStageIsp = [0.85 , 0.875, 0.9  , 0.925, 0.95 , 0.975, 1.   , 1.025, 1.05 ,
       1.075, 1.1  , 1.125, 1.15]
LEO_EXP_FirstStageIsp = [18798.3, 19662.1, 20540.6, 21439.1, 22358.2,24258.8, 25241.7,26248.2,27278.6, 28327.5,29397.3,30489.1]
LEO_ASDS_FirstStageIsp = [16666.9,17394.6,18133.5, 18768.0, 19592.6,20357.6,21136.6,21961.4,22821.0,23711.9,24630.0, 25567.9,26526.2]
LEO_RTLS_FirstStageIsp = [13562.1,14130.2,14730.3,15300.3,15921.4, 16556.0,17208.8,17838.7,18565.8,19187.4, 19964.1, 20604.2, 21433.5]



========================================Orbit Name: MEO========================================
Recovery Strategy: EXP, DispesrionParam: FirstStageIsp, DispesrionValue: 0.85, Payload Mass: 6598.1, [kg]
Recovery Strategy: EXP, DispesrionParam: FirstStageIsp, DispesrionValue: 0.875, Payload Mass: 6998.1, [kg]
Recovery Strategy: EXP, DispesrionParam: FirstStageIsp, DispesrionValue: 0.9, Payload Mass: 7407.6, [kg]
Recovery Strategy: EXP, DispesrionParam: FirstStageIsp, DispesrionValue: 0.925, Payload Mass: 7826.3, [kg]
Recovery Strategy: EXP, DispesrionParam: FirstStageIsp, DispesrionValue: 0.95, Payload Mass: 8254.7, [kg]
Recovery Strategy: EXP, DispesrionParam: FirstStageIsp, DispesrionValue: 0.975, Payload Mass: 8694.0, [kg]
Recovery Strategy: EXP, DispesrionParam: FirstStageIsp, DispesrionValue: 1.0, Payload Mass: 9142.8, [kg]
Recovery Strategy: EXP, DispesrionParam: FirstStageIsp, DispesrionValue: 1.02, Payload Mass: 9603.5, [kg]
Recovery Strategy: EXP, DispesrionParam: FirstStageIsp, DispesrionValue: 1.05, Payload Mass: 10075.9, [kg]
Recovery Strategy: EXP, DispesrionParam: FirstStageIsp, DispesrionValue: 1.07, Payload Mass: 10559.2, [kg]
Recovery Strategy: EXP, DispesrionParam: FirstStageIsp, DispesrionValue: 1.1, Payload Mass: 11054.7, [kg]
Recovery Strategy: EXP, DispesrionParam: FirstStageIsp, DispesrionValue: 1.12, Payload Mass: 11562.2, [kg]
Recovery Strategy: EXP, DispesrionParam: FirstStageIsp, DispesrionValue: 1.15, Payload Mass: 12085.4, [kg]
Recovery Strategy: ASDS, DispesrionParam: FirstStageIsp, DispesrionValue: 0.85, Payload Mass: 5494.2, [kg]
Recovery Strategy: ASDS, DispesrionParam: FirstStageIsp, DispesrionValue: 0.875, Payload Mass: 5820.9, [kg]
Recovery Strategy: ASDS, DispesrionParam: FirstStageIsp, DispesrionValue: 0.9, Payload Mass: 6139.1, [kg]
Recovery Strategy: ASDS, DispesrionParam: FirstStageIsp, DispesrionValue: 0.925, Payload Mass: 6466.2, [kg]
Recovery Strategy: ASDS, DispesrionParam: FirstStageIsp, DispesrionValue: 0.95, Payload Mass: 6803.8, [kg]
Recovery Strategy: ASDS, DispesrionParam: FirstStageIsp, DispesrionValue: 0.975, Payload Mass: 7164.0, [kg]
Recovery Strategy: ASDS, DispesrionParam: FirstStageIsp, DispesrionValue: 1.0, Payload Mass: 7540.7, [kg]
Recovery Strategy: ASDS, DispesrionParam: FirstStageIsp, DispesrionValue: 1.02, Payload Mass: 7932.2, [kg]
Recovery Strategy: ASDS, DispesrionParam: FirstStageIsp, DispesrionValue: 1.05, Payload Mass: 8336.5, [kg]
Recovery Strategy: ASDS, DispesrionParam: FirstStageIsp, DispesrionValue: 1.07, Payload Mass: 8750.9, [kg]
Recovery Strategy: ASDS, DispesrionParam: FirstStageIsp, DispesrionValue: 1.1, Payload Mass: 9176.3, [kg]
Recovery Strategy: ASDS, DispesrionParam: FirstStageIsp, DispesrionValue: 1.12, Payload Mass: 9614.8, [kg]
Recovery Strategy: ASDS, DispesrionParam: FirstStageIsp, DispesrionValue: 1.15, Payload Mass: 10066.9, [kg]
Recovery Strategy: RTLS, DispesrionParam: FirstStageIsp, DispesrionValue: 0.85, Payload Mass: 4052.5, [kg]
