t_video_sec,time_str_primary,vel_kmh_speed,vel_kmh_primary,alt_km_altitude_roi,alt_km_primary,accel_g_acceleration,accel_g_primary
365.365,00:00:00,0,0,0.1,0.1,1,1
366.366,00:00:01,3,3,0.1,0.1,1.2,1.2
367.367,00:00:02,8,8,0.1,0.1,1.3,1.3
368.368,00:00:03,14,14,0.1,0.1,1.3,1.3
369.369,00:00:04,19,19,0.1,0.1,1.4,1.4
370.37,00:00:05,29,29,0.1,0.1,1.4,1.4
371.371,00:00:06,40,40,0.1,0.1,1.4,1.4
372.372,00:00:07,54,54,0.1,0.1,1.4,1.4
373.373,00:00:08,68,68,0.2,0.2,1.4,1.4
374.374,00:00:09,83,83,0.2,0.2,1.4,1.4
375.375,00:00:10,98,98,0.2,0.2,1.4,1.4
376.376,00:00:11,114,114,0.2,0.2,1.4,1.4
377.377,00:00:12,123,123,0.2,0.2,1.4,1.4
378.378,00:00:13,145,145,0.3,0.3,1.5,1.5
379.379,00:00:14,161,161,0.3,0.3,1.5,1.5
380.38,00:00:15,178,178,0.3,0.3,1.5,1.5
381.381,00:00:16,195,195,0.4,0.4,1.5,1.5
382.382,00:00:17,216,216,0.4,0.4,1.5,1.5
383.383,00:00:18,230,230,0.5,0.5,1.5,1.5
384.384,00:00:19,247,247,0.5,0.5,1.5,1.5
385.385,00:00:20,265,265,0.6,0.6,1.5,1.5
386.386,00:00:21,283,283,0.8,0.8,1.5,1.5
387.387,00:00:22,302,302,0.7,0.7,1.5,1.5
388.388,00:00:23,321,321,0.8,0.8,1.5,1.5
389.389,00:00:24,340,340,0.9,0.9,1.6,1.6
390.39,00:00:25,360,360,1,1,1.6,1.6
391.391,00:00:26,380,380,1,1,1.6,1.6
392.392,00:00:27,400,400,1.1,1.1,1.6,1.6
393.393,00:00:28,422,422,1.2,1.2,1.6,1.6
394.394,00:00:29,441,441,1.4,1.4,1.6,1.6
395.395,00:00:30,462,462,1.5,1.5,1.6,1.6
396.396,00:00:31,484,484,1.6,1.6,1.6,1.6
397.397,00:00:32,506,506,1.7,1.7,1.6,1.6
398.398,00:00:33,528,528,1.8,1.8,1.6,1.6
399.399,00:00:34,551,551,2,2,1.6,1.6
400.4,00:00:35,575,575,2.1,2.1,1.7,1.7
401.401,00:00:36,599,599,2.3,2.3,1.7,1.7
402.402,00:00:37,623,623,2.4,2.4,1.7,1.7
403.403,00:00:38,647,647,2.6,2.6,1.7,1.7
404.404,00:00:39,672,672,2.7,2.7,1.7,1.7
405.405,00:00:40,697,697,2.9,2.9,1.7,1.7
406.406,00:00:41,723,723,3.1,3.1,1.7,1.7
407.407,00:00:42,749,749,3.8,3.8,1.7,1.7
408.408,00:00:43,775,775,3.5,3.5,1.8,1.8
409.409,00:00:44,802,802,3.7,3.7,1.6,1.6
410.41,00:00:45,825,825,3.9,3.9,1.4,1.4
411.411,00:00:46,843,843,4.1,4.1,1.4,1.4
412.412,00:00:47,857,857,4.3,4.3,1.4,1.4
413.413,00:00:48,870,870,4.5,4.5,1.4,1.4
414.414,00:00:49,883,883,4.7,4.7,1.4,1.4
415.415,00:00:50,896,896,5,5,1.4,1.4
416.416,00:00:51,909,909,5.2,5.2,1.4,1.4
417.417,00:00:52,923,923,5.4,5.4,1.4,1.4
418.418,00:00:53,936,936,5.7,5.7,1.4,1.4
419.419,00:00:54,950,950,5.8,5.8,1.4,1.4
420.42,00:00:55,965,965,8.2,8.2,1.4,1.4
421.421,00:00:56,980,980,6.4,6.4,1.4,1.4
422.422,00:00:57,995,995,8.7,8.7,1.4,1.4
423.423,00:00:58,1010,1010,6.9,6.9,1.4,1.4
424.424,00:00:59,1026,1026,7.2,7.2,1.4,1.4
425.425,00:01:00,1043,1043,7.5,7.5,1.4,1.4
426.426,00:01:01,1059,1059,7.7,7.7,1.4,1.4
427.427,00:01:02,1076,1076,8,8,1.4,1.4
428.428,00:01:03,1093,1093,,,1.4,1.4
429.429,00:01:04,1110,1110,8.6,8.6,1.4,1.4
430.43,00:01:05,1127,1127,8.8,8.8,1.5,1.5
431.431,00:01:06,1148,1148,9.1,9.1,1.8,1.8
432.432,00:01:07,1176,1176,9.4,9.4,1.9,1.9
433.433,00:01:08,1208,1208,9.7,9.7,1.9,1.9
434.434,00:01:09,,,10,10,2,2
435.435,00:01:10,,,10.3,10.3,2,2
436.436,00:01:11,1318,1318,10.6,10.6,2,2
437.437,00:01:12,1356,1356,10.8,10.8,2,2
438.438,00:01:13,,,11.2,11.2,2,2
439.439,00:01:14,1434,1434,11.5,11.5,2,2
440.44,00:01:15,1474,1474,11.8,11.8,2,2
441.441,00:01:16,1516,1516,12.1,12.1,2,2
442.442,00:01:17,1558,1558,12.4,12.4,2.1,2.1
443.443,00:01:18,1602,1602,12.7,12.7,2.1,2.1
444.444,00:01:19,1646,1646,13,13,2.1,2.1
445.445,00:01:20,1691,1691,,,2.1,2.1
446.446,00:01:21,1737,1737,13.9,13.9,2.1,2.1
447.447,00:01:22,1783,1783,14.3,14.3,,
448.448,00:01:23,1832,1832,14.7,14.7,,
449.449,00:01:24,1881,1881,15.1,15.1,,
450.45,00:01:25,1932,1932,,,,
451.451,00:01:26,1983,1983,15.9,15.9,2.2,2.2
452.452,00:01:27,,,16.3,16.3,,
453.453,00:01:28,,,16.7,16.7,2.3,2.3
454.454,00:01:29,2142,2142,17.1,17.1,2.3,2.3
455.455,00:01:30,2196,2196,17.6,17.6,2.3,2.3
456.456,00:01:31,2251,2251,18,18,,
457.457,00:01:32,2308,2308,18.4,18.4,,
458.458,00:01:33,,,,,2.4,2.4
459.459,00:01:34,2425,2425,19.3,19.3,2.4,2.4
460.46,00:01:35,2487,2487,19.8,19.8,2.4,2.4
461.461,00:01:36,2548,2548,20.3,20.3,2.5,2.5
462.462,00:01:37,2611,2611,20.7,20.7,2.5,2.5
463.463,00:01:38,2675,2675,21.2,21.2,2.5,2.5
464.464,00:01:39,,,21.7,21.7,2.5,2.5
466.466,00:01:41,2872,2872,22.7,22.7,2.6,2.6
467.467,00:01:42,2941,2941,23.2,23.2,,
468.468,00:01:43,3010,3010,,,,
469.469,00:01:44,3081,3081,24.2,24.2,,
470.47,00:01:45,3152,3152,24.7,24.7,2.7,2.7
471.471,00:01:46,3224,3224,25.2,25.2,2.7,2.7
472.472,00:01:47,3297,3297,25.8,25.8,,
473.473,00:01:48,3370,3370,23.3,23.3,2.8,2.8
474.474,00:01:49,3447,3447,26.9,26.9,2.8,2.8
475.475,00:01:50,,,27.4,27.4,,
476.476,00:01:51,3600,3600,28,28,2.8,2.8
477.477,00:01:52,3681,3681,,,2.9,2.9
478.478,00:01:53,3761,3761,,,2.9,2.9
479.479,00:01:54,3843,3843,28.7,28.7,3,3
480.48,00:01:55,3924,3924,30.3,30.3,3,3
481.481,00:01:56,4010,4010,30.9,30.9,3,3
482.482,00:01:57,4093,4093,,,3.1,3.1
483.483,00:01:58,4180,4180,,,3.1,3.1
484.484,00:01:59,4271,4271,32.3,32.3,3.1,3.1
485.485,00:02:00,4363,4363,33.5,33.5,,
486.486,00:02:01,4453,4453,34.1,34.1,3.2,3.2
487.487,00:02:02,4545,4545,34.8,34.8,,
488.488,00:02:03,4642,4642,35.4,35.4,,
489.489,00:02:04,4729,4729,36.1,36.1,,
490.49,00:02:05,4829,4829,,,,
491.491,00:02:08,4926,4926,37.5,37.5,3.4,3.4
492.492,00:02:09,5026,5026,38.2,38.2,3.4,3.4
493.493,00:02:08,5129,5129,38.9,38.9,3.4,3.4
494.494,00:02:08,5230,5230,39.7,39.7,,
495.495,00:02:10,5300,5300,40.4,40.4,3.5,3.5
496.496,00:02:11,5435,5435,41.2,41.2,3.5,3.5
497.497,00:02:12,5533,5533,41.9,41.9,3.8,3.8
498.498,00:02:13,5647,5647,42.7,42.7,3.8,3.8
499.499,00:02:14,,,43.5,43.5,3.7,3.7
500.5,00:02:15,5867,5867,44.3,44.3,3.7,3.7
501.501,00:02:16,5971,5971,45.1,45.1,,
502.502,00:02:17,,,46,46,3.8,3.8
503.503,00:02:18,,,46.8,46.8,,
504.504,00:02:19,6317,6317,47.6,47.6,3.8,3.8
505.505,00:02:20,6433,6433,48.5,48.5,3.8,3.8
506.506,00:02:21,6551,6551,49.4,49.4,3.8,3.8
507.507,00:02:22,6670,6670,50.3,50.3,3.8,3.8
508.508,00:02:23,,,51.2,51.2,3.9,3.9
509.509,00:02:24,6899,6899,52.1,52.1,3.9,3.9
510.51,00:02:25,7025,7025,,,3.8,3.8
511.511,00:02:26,7148,7148,54,54,3.8,3.8
512.512,00:02:27,7263,7263,54.8,54.8,3.9,3.9
513.513,00:02:28,7378,7378,55.9,55.9,3.9,3.9
514.514,00:02:29,7501,7501,56.9,56.9,3.8,3.8
515.515,00:02:30,7611,7611,57.8,57.8,3.8,3.8
516.516,00:02:31,7739,7739,58.8,58.8,3.8,3.8
517.517,00:02:32,7852,7852,59.8,59.8,3.7,3.7
518.518,00:02:33,7966,7966,60.8,60.8,2,2
519.519,00:02:34,8030,8030,61.8,61.8,0.3,0.3
520.52,00:02:35,,,62.7,62.7,,
522.522,00:02:37,8027,8027,64.8,64.8,0.1,0.1
523.523,00:02:38,8010,8010,65.8,65.8,0,0
524.524,00:02:39,7993,7993,66.8,66.8,0,0
525.525,00:02:40,7978,7978,67.8,67.8,0,0
526.526,00:02:41,7964,7964,,,0,0
527.527,00:02:42,7949,7949,69.8,69.8,0,0
528.528,00:02:43,7935,7935,70.7,70.7,0,0
529.529,00:02:44,7920,7920,71.7,71.7,0,0
530.53,00:02:45,,,72.6,72.6,0,0
531.531,00:02:46,7890,7890,73.6,73.6,0,0
532.532,00:02:47,7875,7875,74.5,74.5,0,0
533.533,00:02:48,7861,7861,75.4,75.4,0,0
534.534,00:02:49,7848,7848,76.3,76.3,0,0
535.535,00:02:50,7832,7832,77.2,77.2,0,0
536.536,00:02:51,7822,7822,78.1,78.1,0,0
537.537,00:02:52,7806,7806,79,79,0,0
538.538,00:02:53,7793,7793,79.9,79.9,0,0
539.539,00:02:54,7780,7780,,,0,0
540.54,00:02:55,7767,7767,81.5,81.5,0,0
541.541,00:02:56,,,82.4,82.4,0,0
543.543,00:02:58,7727,7727,84,84,,
544.544,00:02:59,7715,7715,84.9,84.9,0,0
545.545,00:03:00,7702,7702,,,0,0
546.546,00:03:01,7689,7689,86.8,86.8,0,0
547.547,00:03:02,7677,7677,87.3,87.3,0,0
548.548,00:03:03,7664,7664,,,0,0
