t_video_sec,time_str_primary,speed_kmh,altitude_km,acceleration_g
474.4741346931043,00:00:00,0.0,0.0,1.0
475.475134977267,00:00:00,0.0,0.0,1.0
476.47613526142965,00:00:01,,0.0,
477.4771355455923,00:00:02,,0.0,
478.478135829755,00:00:03,10.0,0.0,1.3
479.4791361139176,00:00:04,1.0,0.0,
480.4801363980803,00:00:05,28.0,0.0,1.4
481.48113668224295,00:00:06,7.0,0.0,1.4
482.4821369664056,00:00:07,56.0,0.0,
483.4831372505683,00:00:08,71.0,0.0,1.4
484.48413753473096,00:00:09,86.0,0.0,1.4
485.48513781889363,00:00:10,102.0,0.0,1.4
486.4861381030563,00:00:11,118.0,0.1,1.5
487.487138387219,00:00:12,134.0,0.1,1.5
488.48813867138165,00:00:13,151.0,0.1,1.5
489.4891389555443,00:00:14,,0.1,1.5
490.490139239707,00:00:15,184.0,0.2,1.5
491.49113952386966,00:00:16,200.0,0.2,1.5
492.49213980803233,00:00:17,,0.3,1.5
493.49314009219495,00:00:18,236.0,0.3,1.5
494.4941403763576,00:00:19,254.0,0.4,1.5
495.4951406605203,00:00:20,272.0,0.4,1.5
496.49614094468296,00:00:21,,,1.5
497.49714122884563,00:00:22,,,1.5
498.4981415130083,00:00:23,329.0,0.7,1.6
499.499141797171,,349.0,0.7,1.6
500.50014208133365,00:00:25,359.0,0.8,1.6
501.5011423654963,00:00:45,390.0,0.9,1.6
502.502142649659,,,,1.6
503.50314293382166,00:00:28,432.0,1.0,1.6
504.50414321798434,00:00:23,453.0,1.2,1.6
505.505143502147,,,1.3,1.6
506.5061437863096,,498.0,1.5,1.6
507.5071440704723,00:00:32,520.0,1.6,1.6
508.50814435463496,00:00:33,544.0,1.7,1.7
509.50914463879764,00:00:34,,1.9,1.7
510.5101449229603,00:00:35,592.0,2.0,1.7
511.511145207123,00:00:36,616.0,,1.7
512.5121454912857,00:00:37,,2.3,1.7
513.5131457754483,00:00:38,618.0,2.5,1.7
514.514146059611,00:00:39,693.0,2.6,1.7
515.5151463437736,00:00:40,720.0,2.8,1.7
517.517146912099,00:00:42,775.0,3.2,1.8
518.5181471962617,00:00:43,,3.4,1.8
519.5191474804243,00:00:44,832.0,3.6,1.8
520.520147764587,00:00:45,861.0,3.8,1.8
521.5211480487496,00:00:46,891.0,4.0,1.8
522.5221483329124,00:00:47,,,1.8
523.523148617075,00:00:48,953.0,4.5,1.8
524.5241489012377,00:00:49,984.0,7.0,1.8
525.5251491854003,00:00:50,1016.0,4.9,1.8
526.526149469563,00:00:51,1048.0,5.2,1.8
527.5271497537257,00:00:52,1081.0,5.4,1.7
528.5281500378883,00:00:53,1108.0,7.0,
529.529150322051,00:00:54,1130.0,6.0,1.4
530.5301506062136,00:00:55,1148.0,8.2,
531.5311508903764,00:00:56,1164.0,,
532.532151174539,00:00:57,1180.0,68.8,
533.5331514587017,00:00:58,1196.0,7.1,
534.5341517428643,00:00:59,1213.0,7.4,
535.535152027027,00:01:00,,,1.8
536.5361523111897,00:01:01,1263.0,8.0,1.8
537.5371525953524,00:01:02,1295.0,8.3,1.8
538.538152879515,00:01:03,,8.6,1.9
539.5391531636777,00:01:04,1364.0,8.9,1.9
540.5401534478403,00:01:05,1399.0,9.2,1.9
541.541153732003,00:01:06,1435.0,,1.9
543.5431543003283,00:01:08,1509.0,10.2,
544.544154584491,00:01:09,1547.0,10.6,1.9
545.5451548686536,00:01:10,,10.9,2.0
546.5461551528164,00:01:11,1626.0,11.3,2.0
547.547155436979,00:01:12,1666.0,11.6,2.0
548.5481557211417,00:01:13,7.0,12.0,2.0
549.5491560053043,00:01:14,49.0,12.4,2.0
550.550156289467,00:01:15,92.0,12.7,2.0
551.5511565736297,00:01:16,1836.0,13.1,
552.5521568577924,00:01:17,1881.0,13.5,2.0
553.553157141955,00:01:18,1926.0,13.9,2.0
554.5541574261176,00:01:19,,14.3,2.0
555.5551577102804,00:01:20,2019.0,14.7,2.0
556.556157994443,00:01:21,2087.0,,2.0
557.5571582786057,00:01:22,,,2.0
558.5581585627683,00:01:23,2166.0,16.0,
559.559158846931,00:01:24,27.0,16.5,
560.5601591310937,00:01:25,2269.0,,
561.5611594152564,00:01:26,,17.3,2.3
562.562159699419,00:01:27,2375.0,17.8,2.3
563.5631599835817,00:01:28,2432.0,,2.3
564.5641602677443,00:01:29,2488.0,18.7,2.3
565.5651605519071,00:01:30,2546.0,19.2,2.4
566.5661608360697,00:01:31,2604.0,19.7,2.4
567.5671611202323,00:01:32,2664.0,20.2,2.4
568.568161404395,00:01:33,2725.0,20.7,2.4
569.5691616885576,00:01:34,,,2.5
570.5701619727204,00:01:35,2350.0,7.0,2.5
571.571162256883,00:01:36,2915.0,,2.5
572.5721625410457,00:01:37,2980.0,27.0,2.5
573.5731628252083,00:01:38,3047.0,23.2,2.6
574.574163109371,00:01:39,3116.0,23.8,2.6
575.5751633935337,00:01:40,3185.0,24.3,2.6
576.5761636776964,00:01:41,3255.0,24.8,2.6
577.577163961859,00:01:42,3326.0,25.4,
578.5781642460217,00:01:43,3398.0,25.9,2.1
579.5791645301844,00:01:44,3471.0,26.5,2.1
580.5801648143471,00:01:45,3544.0,27.1,2.1
581.5811650985097,00:01:46,3620.0,27.6,2.3
582.5821653826723,00:01:47,3698.0,28.2,
583.583165666835,00:01:48,,28.8,2.8
584.5841659509977,00:01:49,3853.0,29.4,
585.5851662351604,00:01:50,3934.0,30.0,
587.5871668034857,00:01:52,4100.0,31.2,3.0
588.5881670876483,00:01:53,4185.0,,3.0
589.5891673718111,00:01:54,4269.0,,3.0
590.5901676559737,00:01:55,4356.0,,3.0
591.5911679401364,00:01:56,4445.0,,3.1
592.592168224299,00:01:57,4534.0,34.5,3.1
593.5931685084618,00:01:58,4623.0,,3.1
594.5941687926244,00:01:59,,35.8,3.2
595.595169076787,00:02:00,4809.0,,3.2
596.5961693609497,00:02:01,4902.0,37.2,3.2
597.5971696451123,00:02:02,4998.0,37.9,3.3
598.5981699292751,00:02:03,5094.0,,3.3
599.5991702134377,00:02:04,5190.0,,3.3
600.6001704976004,00:02:05,5290.0,40.1,
601.601170781763,00:02:06,5392.0,40.8,
