t_video_sec,time_str_primary,speed_kmh,altitude_km,acceleration_g,velocity2_kmh,altitude2_km
605.004706430443,00:00:00,0,0.1,1,,
606.005706937442,00:00:01,,0.1,1.2,,
607.006707444441,00:00:02,7,0.1,1.3,,
608.007707951441,00:00:03,14,0.1,1.4,,
609.00870845844,00:00:04,19,0.1,1.4,,
610.00970896544,00:00:05,28,0.1,1.4,,
611.010709472439,00:00:06,40,0.1,1.4,,
612.011709979438,00:00:07,54,0.1,1.4,,
613.012710486438,00:00:08,69,0.1,1.4,,
614.013710993437,00:00:09,84,0.2,1.4,,
615.014711500437,00:00:10,100,0.2,1.5,,
616.015712007436,00:00:11,116,0.2,1.5,,
617.016712514435,00:00:12,133,0.2,1.5,,
618.017713021435,00:00:13,149,0.2,1.5,,
619.018713528434,00:00:14,165,0.3,1.5,,
620.019714035434,00:00:15,182,0.3,1.5,,
620.987347858867,00:00:16,198,0.4,1.5,,
621.988348365866,00:00:17,216,0.4,1.5,,
622.989348872865,00:00:18,234,0.5,1.5,,
623.990349379865,00:00:19,252,0.5,1.5,,
624.991349886864,00:00:20,270,0.6,1.5,,
625.992350393863,00:00:21,289,0.6,1.5,,
626.993350900863,00:00:22,308,0.7,1.5,,
627.994351407862,00:00:23,327,0.8,1.6,,
628.995351914862,00:00:24,347,0.9,1.6,,
629.996352421861,00:00:25,367,1,1.6,,
630.997352928861,00:00:26,387,1,1.6,,
631.99835343586,00:00:27,407,1.1,1.6,,
632.999353942859,00:00:28,428,1.2,1.6,,
634.000354449859,00:00:29,450,1.3,1.6,,
635.001354956858,00:00:30,472,1.5,1.6,,
636.002355463858,00:00:31,494,1.6,1.6,,
637.003355970857,00:00:32,516,1.7,1.6,,
638.004356477856,00:00:33,539,1.8,1.7,,
639.005356984856,00:00:34,563,2,1.7,,
640.006357491855,00:00:35,591,2.1,1.7,,
641.007357998855,00:00:36,615,2.3,1.7,,
642.008358505854,00:00:37,639,2.4,1.7,,
643.009359012854,00:00:38,662,2.6,1.7,,
644.010359519853,00:00:39,687,2.7,1.7,,
645.011360026852,00:00:40,717,2.9,1.7,,
646.012360533852,00:00:41,740,3.1,1.7,,
647.013361040851,00:00:42,768,3.3,1.7,,
648.01436154785,00:00:43,794,3.5,1.8,,
649.01536205485,00:00:44,823,3.7,1.8,,
650.016362561849,00:00:45,851,3.9,1.8,,
651.017363068849,00:00:46,883,4.1,1.8,,
652.018363575848,00:00:47,912,4.3,1.8,,
653.019364082847,00:00:48,940,4.5,1.8,,
654.020364589847,00:00:49,975,4.8,1.8,,
654.98799841328,00:00:50,1003,5,1.8,,
655.988998920279,00:00:51,1035,5.3,1.8,,
656.989999427278,00:00:52,1065,5.5,1.6,,
657.990999934278,00:00:53,1090,5.8,1.4,,
658.992000441277,00:00:54,1110,6,1.4,,
659.993000948277,00:00:55,1125,6.3,1.3,,
660.994001455276,00:00:56,1143,6.6,1.3,,
661.995001962276,00:00:57,1158,6.9,1.3,,
662.996002469275,00:00:58,1174,7.1,1.3,,
663.997002976274,00:00:59,1193,7.4,1.5,,
664.998003483274,00:01:00,1213,7,1.7,,
665.999003990273,00:01:01,1240,8,1.8,,
667.000004497273,00:01:02,1274,8.3,1.8,,
668.001005004272,00:01:03,1305,8.6,1.9,,
669.002005511271,00:01:04,1340,8.9,1.9,,
670.003006018271,00:01:05,1375,9.2,1.9,,
671.00400652527,00:01:06,1412,9.5,1.9,,
672.00500703227,00:01:07,1449,9.9,1.9,,
673.006007539269,00:01:08,1486,10.2,1.9,,
674.007008046268,00:01:09,1525,10.5,1.9,,
675.008008553268,00:01:10,1564,10.8,1.9,,
676.009009060267,00:01:11,1605,11.2,1.9,,
677.010009567267,00:01:12,1645,11.5,2,,
678.011010074266,00:01:13,1686,11.9,2,,
679.012010581265,00:01:14,1728,12.3,2,,
680.013011088265,00:01:15,1771,12.6,2,,
681.014011595264,00:01:16,1814,13,2,,
682.015012102264,00:01:17,1859,13.4,2.1,,
683.016012609263,00:01:18,1905,13.8,2.1,,
684.017013116263,00:01:19,1951,14.2,2.1,,
685.018013623262,00:01:20,1998,14.5,2.1,,
686.019014130261,00:01:21,2046,14.9,2.1,,
687.020014637261,00:01:22,2096,15.4,2.2,,
687.987648460694,00:01:23,2144,15.8,2.2,,
